,latitude,longitude,phh2o_0_30cm,ocd_0_30cm,cec_0_30cm,sand_0_30cm,silt_0_30cm,clay_0_30cm
190,40.79361,-122.55083,59.0,325.67,162.33,479.0,286.0,235.0
191,34.97018,-119.47831,74.33,186.33,189.33,459.33,354.0,186.33
192,39.15321,-90.78279,58.67,270.33,184.67,59.0,684.0,257.33
193,38.52557,-92.13475,62.0,262.33,166.33,85.0,615.0,300.0
194,38.50472,-92.24667,58.67,332.33,254.0,90.67,607.33,301.67
195,39.51311,-91.51401,64.0,266.0,193.67,59.33,683.33,257.67
196,36.99024,-91.30943,51.33,218.67,98.33,295.0,491.33,213.67
197,38.47889,-90.80639,58.67,246.67,160.67,79.0,678.0,243.0
198,31.504,-94.75994,57.33,199.33,80.67,585.0,340.67,74.0
199,40.63697,-115.2212,78.0,161.33,201.0,346.0,452.0,201.67
200,37.18167,-91.11778,51.33,251.67,112.33,259.33,585.0,155.67
201,37.50138,-91.2594,48.0,276.67,112.67,277.33,574.0,149.0
202,18.21139,-67.13454,55.0,322.33,234.33,69.0,394.0,536.67
203,35.40455,-108.1783,79.33,122.67,167.67,518.67,246.67,234.67
204,36.45976,-120.70601,72.33,224.33,342.33,206.67,391.33,402.0
205,37.97787,-118.68626,72.67,97.67,122.0,579.33,246.0,174.67
206,38.07666,-119.11417,68.0,175.67,108.67,629.0,244.67,126.0
207,36.56295,-118.13562,62.0,184.33,155.0,701.0,220.33,78.33
208,19.98566,-155.35558,54.0,437.0,241.33,365.67,329.33,305.0
209,35.83799,-118.03377,68.0,204.33,141.0,678.0,236.67,85.67
210,47.21415,-105.18702,77.0,202.67,88.0,573.33,261.67,165.0
211,43.32268,-115.99643,71.33,163.0,217.0,297.33,533.33,169.33
212,45.80272,-111.58655,77.33,192.33,279.33,233.33,368.0,398.67
