Unnamed: 0,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate,silt_0_30cm,clay_0_30cm,nitrogen_0_30cm,sand_0_30cm,soc_0_30cm
682,2150:UT:SCAN,2150,UT,SCAN,Chicken Ridge,GC,Morgan,160201010603,7650,41.33136,-111.3036,-7,40640,CKRU1,2009-08-25 00:00,2100-01-01 00:00,342.67,178.33,285.67,479.0,403.33
690,2240:CA:SCAN,2240,CA,SCAN,Chimney Creek,GC,Tulare,180300020401,5680,35.83799,-118.03377,-8,,,2024-09-25 00:00,2100-01-01 00:00,236.67,85.67,169.67,678.0,296.33
712,2125:UT:SCAN,2125,UT,SCAN,Circleville,GC,Piute,160300010604,6130,38.15133,-112.25122,-7,34108,CLZU1,2007-05-08 00:00,2100-01-01 00:00,314.33,169.33,98.67,516.33,97.67
767,2195:MO:SCAN,2195,MO,SCAN,CMRB LTAR-MO,GC,Boone,71100060102,870,39.2285,-92.11942,-6,,CTSM7,2014-09-03 00:00,2100-01-01 00:00,598.67,343.33,185.33,57.67,161.33
777,2189:CA:SCAN,2189,CA,SCAN,Cochora Ranch,GC,San Luis Obispo,180600030102,2670,35.11807,-119.59608,-8,70965,CXXC1,2012-06-07 00:00,2100-01-01 00:00,232.33,163.33,137.33,604.0,106.33
820,2066:PR:SCAN,2066,PR,SCAN,Combate,GC,Cabo Rojo,210100040108,50,17.98333,-67.16667,-4,8428,COBP4,2002-06-04 00:00,2100-01-01 00:00,239.67,464.33,242.67,296.0,221.33
833,2117:MT:SCAN,2117,MT,SCAN,Conrad Ag Rc,GC,Pondera,100302030705,3700,48.30453,-111.92363,-7,34001,COAM8,2006-10-18 00:00,2100-01-01 00:00,389.67,315.67,176.0,294.67,178.67
836,2198:WA:SCAN,2198,WA,SCAN,Cook Farm Field D,GC,Whitman,170601080203,2580,46.78373,-117.08008,-8,70385,COOW1,2013-07-24 00:00,2100-01-01 00:00,673.67,242.33,219.67,84.0,292.67
854,2188:PR:SCAN,2188,PR,SCAN,Corozal,GC,Corozal,210100020104,810,18.31865,-66.36281,-4,32428,RCLP4,2012-09-18 00:00,2100-01-01 00:00,322.0,496.0,268.67,182.0,252.33
894,2197:CO:SCAN,2197,CO,SCAN,CPER,GC,Weld,101900080301,5340,40.8228,-104.71068,-7,,CPEC2,2013-09-12 00:00,2100-01-01 00:00,248.67,301.0,114.67,449.67,89.0
910,2002:MN:SCAN,2002,MN,SCAN,Crescent Lake #1,GC,Sherburne,70102030503,980,45.41667,-93.95,-6,18818,CSCM5,1993-10-01 00:00,2100-01-01 00:00,120.67,77.67,251.0,802.0,248.0
919,2107:NM:SCAN,2107,NM,SCAN,Crossroads,GC,Lea,120800010103,4050,33.53513,-103.242,-7,30945,CRDN5,2005-03-12 00:00,2100-01-01 00:00,100.0,153.67,92.33,746.0,75.33
931,2113:AL:SCAN,2113,AL,SCAN,Cullman-NAHRC,GC,Cullman,31601090104,790,34.19492,-86.79897,-6,33156,CNSA1,2006-05-16 00:00,2100-01-01 00:00,378.0,187.0,161.33,434.67,208.67
980,2190:CA:SCAN,2190,CA,SCAN,Death Valley Jct,GC,Inyo,180902021504,2080,36.32502,-116.35132,-8,70961,DVJC1,2012-06-08 00:00,2100-01-01 00:00,281.0,185.33,37.67,533.33,28.67
983,2174:AL:SCAN,2174,AL,SCAN,Dee River Ranch,GC,Pickens,31601060504,160,33.10768,-88.31003,-6,,DEEA1,2010-04-09 00:00,2100-01-01 00:00,450.33,441.33,167.67,108.33,155.0
986,2187:CA:SCAN,2187,CA,SCAN,Deep Springs,GC,Inyo,180902010102,5390,37.37222,-117.97383,-8,70962,DPSC1,2011-11-21 00:00,2100-01-01 00:00,275.0,118.0,110.0,607.33,145.67
1008,2183:CA:SCAN,2183,CA,SCAN,Desert Center,GC,Riverside,181001004703,550,33.80208,-115.30505,-8,70986,ERTC1,2011-11-16 00:00,2100-01-01 00:00,225.33,147.0,43.33,627.67,19.33
1019,2048:MO:SCAN,2048,MO,SCAN,Dexter,GC,Stoddard,80202040502,300,36.78333,-89.93333,-6,28817,DEXM7,2001-09-19 00:00,2100-01-01 00:00,630.33,243.0,179.33,126.33,140.0
1050,2191:CA:SCAN,2191,CA,SCAN,Doe Ridge,GC,Mono,180901020207,7340,37.63423,-118.82643,-8,70963,DOEC1,2012-06-10 00:00,2100-01-01 00:00,316.67,65.33,160.33,618.0,184.67
1092,2167:UT:SCAN,2167,UT,SCAN,Dugway,GC,Tooele,160203061009,4320,40.16591,-113.02007,-7,40645,DGYU1,2009-06-16 00:00,2100-01-01 00:00,487.0,333.67,80.0,179.33,75.33
1115,2192:CA:SCAN,2192,CA,SCAN,Eagle Lake,GC,Lassen,180800030305,5160,40.6175,-120.72472,-8,70964,EALC1,2012-06-12 00:00,2100-01-01 00:00,311.33,234.67,278.0,454.33,200.33
1148,2130:UT:SCAN,2130,UT,SCAN,Eastland,GC,San Juan,140802030109,6840,37.77853,-109.17193,-7,34112,ELDU1,2007-05-14 00:00,2100-01-01 00:00,360.33,217.67,106.0,422.0,119.33
