lat,lon,silt_0_30cm
40.3,-96.7,537.33
41.36666666666667,-96.7,555.0
42.43333333333333,-96.7,507.33
43.5,-96.7,
40.3,-94.5,585.0
41.36666666666667,-94.5,520.67
42.43333333333333,-94.5,443.67
43.5,-94.5,381.33
40.3,-92.3,455.33
41.36666666666667,-92.3,444.33
42.43333333333333,-92.3,
43.5,-92.3,464.33
40.3,-90.1,374.67
41.36666666666667,-90.1,621.67
42.43333333333333,-90.1,637.67
43.5,-90.1,666.0
