,stationTriplet,stationId,stateCode,networkCode,name,dcoCode,countyName,huc,elevation,latitude,longitude,dataTimeZone,pedonCode,shefId,beginDate,endDate
827,2117:MT:SCAN,2117,MT,SCAN,Conrad Ag Rc,GC,Pondera,100302030705,3700.0,48.30453,-111.92363,-7.0,34001,COAM8,2006-10-18 00:00,2100-01-01 00:00
830,2198:WA:SCAN,2198,WA,SCAN,Cook Farm Field D,GC,Whitman,170601080203,2580.0,46.78373,-117.08008,-8.0,70385,COOW1,2013-07-24 00:00,2100-01-01 00:00
848,2188:PR:SCAN,2188,PR,SCAN,Corozal,GC,Corozal,210100020104,810.0,18.31865,-66.36281,-4.0,32428,RCLP4,2012-09-18 00:00,2100-01-01 00:00
888,2197:CO:SCAN,2197,CO,SCAN,CPER,GC,Weld,101900080301,5340.0,40.8228,-104.71068,-7.0,,CPEC2,2013-09-12 00:00,2100-01-01 00:00
904,2002:MN:SCAN,2002,MN,SCAN,Crescent Lake #1,GC,Sherburne,070102030503,980.0,45.41667,-93.95,-6.0,18818,CSCM5,1993-10-01 00:00,2100-01-01 00:00
913,2107:NM:SCAN,2107,NM,SCAN,Crossroads,GC,Lea,120800010103,4050.0,33.53513,-103.242,-7.0,30945,CRDN5,2005-03-12 00:00,2100-01-01 00:00
925,2113:AL:SCAN,2113,AL,SCAN,Cullman-NAHRC,GC,Cullman,031601090104,790.0,34.19492,-86.79897,-6.0,33156,CNSA1,2006-05-16 00:00,2100-01-01 00:00
974,2190:CA:SCAN,2190,CA,SCAN,Death Valley Jct,GC,Inyo,180902021504,2080.0,36.32502,-116.35132,-8.0,70961,DVJC1,2012-06-08 00:00,2100-01-01 00:00
977,2174:AL:SCAN,2174,AL,SCAN,Dee River Ranch,GC,Pickens,031601060504,160.0,33.10768,-88.31003,-6.0,,DEEA1,2010-04-09 00:00,2100-01-01 00:00
980,2187:CA:SCAN,2187,CA,SCAN,Deep Springs,GC,Inyo,180902010102,5390.0,37.37222,-117.97383,-8.0,70962,DPSC1,2011-11-21 00:00,2100-01-01 00:00
1002,2183:CA:SCAN,2183,CA,SCAN,Desert Center,GC,Riverside,181001004703,550.0,33.80208,-115.30505,-8.0,70986,ERTC1,2011-11-16 00:00,2100-01-01 00:00
1013,2048:MO:SCAN,2048,MO,SCAN,Dexter,GC,Stoddard,080202040502,300.0,36.78333,-89.93333,-6.0,28817,DEXM7,2001-09-19 00:00,2100-01-01 00:00
1044,2191:CA:SCAN,2191,CA,SCAN,Doe Ridge,GC,Mono,180901020207,7340.0,37.63423,-118.82643,-8.0,70963,DOEC1,2012-06-10 00:00,2100-01-01 00:00
1086,2167:UT:SCAN,2167,UT,SCAN,Dugway,GC,Tooele,160203061009,4320.0,40.16591,-113.02007,-7.0,40645,DGYU1,2009-06-16 00:00,2100-01-01 00:00
1109,2192:CA:SCAN,2192,CA,SCAN,Eagle Lake,GC,Lassen,180800030305,5160.0,40.6175,-120.72472,-8.0,70964,EALC1,2012-06-12 00:00,2100-01-01 00:00
1142,2130:UT:SCAN,2130,UT,SCAN,Eastland,GC,San Juan,140802030109,6840.0,37.77853,-109.17193,-7.0,34112,ELDU1,2007-05-14 00:00,2100-01-01 00:00
1143,2077:TN:SCAN,2077,TN,SCAN,Eastview Farm,GC,Franklin,060300030602,1050.0,35.13905,-86.19113,-6.0,30330,EAST1,2003-06-04 00:00,2100-01-01 00:00
1194,2220:MO:SCAN,2220,MO,SCAN,Elsberry PMC,GC,Lincoln,071100041104,490.0,39.15321,-90.78279,-6.0,72143,EBYM7,2015-08-04 00:00,2100-01-01 00:00
1216,2128:UT:SCAN,2128,UT,SCAN,Enterprise,GC,Iron,160300061307,5240.0,37.63343,-113.64324,-7.0,34115,ENPU1,2007-05-11 00:00,2100-01-01 00:00
1218,2126:UT:SCAN,2126,UT,SCAN,Ephraim,GC,Sanpete,160300040303,5540.0,39.36798,-111.57803,-7.0,34109,EPMU1,2007-05-09 00:00,2100-01-01 00:00
1220,2072:SD:SCAN,2072,SD,SCAN,Eros Data Center,GC,Minnehaha,101702031402,1600.0,43.73835,-96.61455,-6.0,29691,EROS2,2003-05-01 00:00,2100-01-01 00:00
1223,2185:CA:SCAN,2185,CA,SCAN,Essex,GC,San Bernardino,181001003308,2650.0,34.67235,-115.16693,-8.0,70988,EXCC1,2011-11-19 00:00,2100-01-01 00:00
1235,2051:FL:SCAN,2051,FL,SCAN,Everglades ARS,GC,Miami-Dade,030902061603,10.0,25.5,-80.55,-5.0,23291,EARF1,1999-02-01 00:00,2100-01-01 00:00
1325,2184:CA:SCAN,2184,CA,SCAN,Ford Dry Lake,GC,Riverside,181001005405,380.0,33.6547,-115.09763,-8.0,,RDLC1,2011-11-16 13:00,2100-01-01 00:00
1331,2019:MT:SCAN,2019,MT,SCAN,Fort Assiniboine #1,GC,Hill,100500040103,2710.0,48.49086,-109.8004,-7.0,19462,FASM8,1991-10-01 00:00,2100-01-01 00:00
1340,2022:OK:SCAN,2022,OK,SCAN,Fort Reno #1,GC,Canadian,111003010606,1380.0,35.55,-98.01667,-6.0,27115,FTRO2,1998-11-10 14:00,2100-01-01 00:00
1345,2122:PR:SCAN,2122,PR,SCAN,Fortuna,GC,Juana Diaz,210100040313,70.0,18.02502,-66.5279,-4.0,,FORP4,2006-11-08 00:00,2100-01-01 00:00
1372,2218:CA:SCAN,2218,CA,SCAN,French Gulch,GC,Shasta,180201540102,3760.0,40.79361,-122.55083,-8.0,,FGLC1,2014-10-22 00:00,2100-01-01 00:00
