month,year,PRCP,SMS_-2,SMS_-4,SMS_-8,SMS_-20,SMS_-40,TAVG,TMAX,TMIN,stationTriplet,latitude,longitude
1,2021,2.43,12.7,18.8,29.8,35.4,19.9,37.2,56.8,22.8,2092:KS:SCAN,37.1313,-97.0859
2,2021,0.09,16.9,21.7,30.7,36.6,19.3,27.5,70.7,-15.9,2092:KS:SCAN,37.1313,-97.0859
3,2021,5.09,9.1,13.9,26.4,35.4,24.3,52.6,78.6,25.9,2092:KS:SCAN,37.1313,-97.0859
4,2021,2.07,8.1,11.7,17.7,29.1,22.0,56.2,81.7,28.9,2092:KS:SCAN,37.1313,-97.0859
5,2021,3.18,14.1,18.8,26.2,26.2,20.2,63.4,84.9,37.6,2092:KS:SCAN,37.1313,-97.0859
6,2021,5.64,10.5,14.5,23.6,32.1,20.8,77.3,100.0,54.9,2092:KS:SCAN,37.1313,-97.0859
7,2021,5.31,7.4,10.4,13.9,21.9,10.4,79.3,99.9,59.5,2092:KS:SCAN,37.1313,-97.0859
8,2021,0.42,7.5,11.1,19.4,20.9,8.8,80.6,99.1,59.2,2092:KS:SCAN,37.1313,-97.0859
9,2021,3.02,12.4,15.1,22.0,20.0,8.5,75.8,97.5,45.3,2092:KS:SCAN,37.1313,-97.0859
10,2021,4.23,15.1,19.4,28.2,22.1,8.1,62.8,93.9,35.4,2092:KS:SCAN,37.1313,-97.0859
11,2021,0.44,6.7,14.0,26.4,23.3,7.7,50.0,77.5,26.8,2092:KS:SCAN,37.1313,-97.0859
12,2021,0.82,4.4,10.8,24.5,23.3,7.5,47.2,78.4,10.6,2092:KS:SCAN,37.1313,-97.0859
1,2022,0.63,14.5,19.9,26.9,31.6,7.6,33.7,69.8,8.2,2092:KS:SCAN,37.1313,-97.0859
2,2022,0.46,16.7,22.7,29.8,34.7,9.9,35.5,73.8,5.7,2092:KS:SCAN,37.1313,-97.0859
3,2022,5.14,7.8,13.1,29.1,35.2,14.6,48.3,81.5,15.4,2092:KS:SCAN,37.1313,-97.0859
4,2022,1.84,11.8,16.1,26.1,35.7,16.2,59.5,89.2,30.7,2092:KS:SCAN,37.1313,-97.0859
5,2022,11.85,14.3,18.9,28.7,37.5,,68.7,92.5,43.9,2092:KS:SCAN,37.1313,-97.0859
6,2022,7.82,,,,,,78.6,99.9,55.0,2092:KS:SCAN,37.1313,-97.0859
7,2022,0.96,,,,,,84.8,106.0,62.2,2092:KS:SCAN,37.1313,-97.0859
8,2022,0.5,4.8,8.5,13.4,28.0,18.2,82.4,102.4,58.3,2092:KS:SCAN,37.1313,-97.0859
9,2022,0.49,3.7,7.9,11.6,23.3,17.7,74.9,100.0,49.8,2092:KS:SCAN,37.1313,-97.0859
10,2022,1.49,15.0,20.1,23.4,36.2,18.1,61.5,89.4,25.3,2092:KS:SCAN,37.1313,-97.0859
11,2022,2.45,14.0,21.5,25.9,41.6,25.2,44.9,78.3,19.4,2092:KS:SCAN,37.1313,-97.0859
12,2022,1.81,11.8,19.9,23.8,41.5,24.9,36.0,64.2,-4.2,2092:KS:SCAN,37.1313,-97.0859
1,2023,0.75,11.9,21.3,24.6,,23.9,38.1,66.6,9.3,2092:KS:SCAN,37.1313,-97.0859
2,2023,2.05,10.4,18.9,23.0,,24.2,40.7,70.9,13.8,2092:KS:SCAN,37.1313,-97.0859
3,2023,5.15,5.8,8.6,14.4,,24.0,47.1,79.2,15.8,2092:KS:SCAN,37.1313,-97.0859
4,2023,2.72,10.9,16.8,22.5,,21.3,58.6,88.5,28.4,2092:KS:SCAN,37.1313,-97.0859
5,2023,3.76,14.5,20.9,27.7,39.0,24.2,68.7,94.1,37.4,2092:KS:SCAN,37.1313,-97.0859
6,2023,5.61,9.8,14.8,21.9,39.4,28.0,76.0,99.7,59.5,2092:KS:SCAN,37.1313,-97.0859
7,2023,5.1,6.5,8.3,10.5,29.2,18.4,80.4,102.9,62.2,2092:KS:SCAN,37.1313,-97.0859
8,2023,2.57,5.7,8.8,9.6,24.1,15.9,81.8,106.5,57.6,2092:KS:SCAN,37.1313,-97.0859
9,2023,1.28,5.6,8.2,12.2,23.0,15.4,75.9,99.3,54.9,2092:KS:SCAN,37.1313,-97.0859
10,2023,2.42,13.9,18.6,23.2,23.9,14.8,60.8,91.2,24.3,2092:KS:SCAN,37.1313,-97.0859
11,2023,2.85,17.4,21.4,27.2,38.6,18.4,49.3,81.7,18.0,2092:KS:SCAN,37.1313,-97.0859
12,2023,2.72,14.5,19.9,26.8,38.4,28.7,42.3,68.4,22.6,2092:KS:SCAN,37.1313,-97.0859
1,2024,1.53,16.0,22.5,27.0,39.2,28.7,29.9,71.2,-2.6,2092:KS:SCAN,37.1313,-97.0859
2,2024,1.55,11.0,17.9,22.6,38.3,27.6,47.6,84.7,16.2,2092:KS:SCAN,37.1313,-97.0859
3,2024,1.46,10.2,15.4,19.6,37.8,27.3,52.4,81.5,23.4,2092:KS:SCAN,37.1313,-97.0859
4,2024,5.42,15.5,20.8,25.3,40.4,28.9,61.5,91.0,34.2,2092:KS:SCAN,37.1313,-97.0859
5,2024,5.66,11.7,16.0,22.5,38.8,20.0,68.5,87.1,49.8,2092:KS:SCAN,37.1313,-97.0859
6,2024,3.93,9.2,14.1,20.8,31.8,17.1,78.9,99.3,56.5,2092:KS:SCAN,37.1313,-97.0859
7,2024,2.07,4.3,6.8,10.6,25.7,16.5,80.7,103.8,60.8,2092:KS:SCAN,37.1313,-97.0859
8,2024,1.25,4.8,7.5,12.2,23.6,16.4,80.1,100.8,59.4,2092:KS:SCAN,37.1313,-97.0859
9,2024,1.88,4.3,7.1,12.5,22.9,16.0,72.6,100.9,50.0,2092:KS:SCAN,37.1313,-97.0859
10,2024,2.05,14.5,19.0,26.4,36.8,19.1,66.6,93.6,-12.5,2092:KS:SCAN,37.1313,-97.0859
11,2024,6.2,11.6,16.5,24.0,37.8,24.3,,,-99.6,2092:KS:SCAN,37.1313,-97.0859
12,2024,0.03,12.5,16.9,23.2,36.7,23.3,,,,2092:KS:SCAN,37.1313,-97.0859
1,2025,0.68,12.9,17.8,24.2,36.9,22.9,,,,2092:KS:SCAN,37.1313,-97.0859
2,2025,0.16,12.0,17.0,24.2,37.7,23.1,,,,2092:KS:SCAN,37.1313,-97.0859
3,2025,1.55,,,,,,,,,2092:KS:SCAN,37.1313,-97.0859
