latitude,longitude,phh2o,ocd,cec,sand,silt,clay,stationTriplet
32.608,-88.19743,67,124,185,316,288,378,2114:AL:SCAN
32.43455,-85.74802,55,119,27,721,121,125,2115:AL:SCAN
40.09247,-118.49345,80,258,512,72,281,647,2116:NV:SCAN
48.30453,-111.92363,71,159,228,255,355,355,2117:MT:SCAN
48.43578,-111.18423,76,148,276,178,393,431,2118:MT:SCAN
47.05818,-109.95082,76,178,201,292,343,338,2119:MT:SCAN
47.77102,-104.247,71,136,200,243,422,307,2120:MT:SCAN
47.522,-107.12731,76,150,244,118,490,365,2121:MT:SCAN
18.02502,-66.5279,77,165,239,246,293,343,2122:PR:SCAN
17.71833,-64.79518,79,234,336,223,320,461,2123:VI:SCAN
38.15133,-112.25122,83,84,209,612,266,110,2125:UT:SCAN
39.36798,-111.57803,82,158,196,135,385,470,2126:UT:SCAN
39.19216,-112.40155,82,131,143,461,309,119,2127:UT:SCAN
37.63343,-113.64324,78,113,158,449,224,292,2128:UT:SCAN
38.34196,-113.01053,81,153,263,84,573,277,2129:UT:SCAN
37.77853,-109.17193,75,122,143,408,361,209,2130:UT:SCAN
39.01825,-110.16264,84,116,73,528,299,125,2131:UT:SCAN
39.53288,-110.80604,85,90,155,260,459,271,2132:UT:SCAN
40.9999,-111.68555,73,177,127,499,311,137,2133:UT:SCAN
40.37263,-110.40602,77,154,158,498,238,213,2134:UT:SCAN
41.93531,-112.4336,74,137,219,150,596,249,2135:UT:SCAN
41.81568,-111.98043,79,156,208,127,563,193,2136:UT:SCAN
39.64554,-111.87044,81,148,182,285,488,234,2137:UT:SCAN
37.67455,-109.36429,78,117,156,423,344,217,2138:UT:SCAN
38.01394,-109.12745,74,133,171,358,333,247,2139:UT:SCAN
37.44671,-109.33776,81,86,112,495,254,195,2140:UT:SCAN
36.26527,-115.60852,70,127,144,469,295,164,2141:NV:SCAN
36.37355,-115.78127,76,141,257,246,519,242,2142:NV:SCAN
36.57285,-115.20422,75,113,142,502,314,155,2144:NV:SCAN
36.36651,-115.82047,66,139,118,506,314,177,2145:NV:SCAN
