mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor__activation,param_regressor__alpha,param_regressor__hidden_layer_sizes,param_regressor__learning_rate_init,params,split0_test_r2,split1_test_r2,split2_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,mean_train_r2,std_train_r2,split0_test_mae,split1_test_mae,split2_test_mae,mean_test_mae,std_test_mae,rank_test_mae,split0_train_mae,split1_train_mae,split2_train_mae,mean_train_mae,std_train_mae,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error,split0_train_neg_root_mean_squared_error,split1_train_neg_root_mean_squared_error,split2_train_neg_root_mean_squared_error,mean_train_neg_root_mean_squared_error,std_train_neg_root_mean_squared_error
36.348544120788574,8.12663562300323,0.10976243019104004,0.0026702551825517075,relu,0.008065429868602328,"(150, 75)",0.07419939418114051,"{'regressor__activation': 'relu', 'regressor__alpha': 0.008065429868602328, 'regressor__hidden_layer_sizes': (150, 75), 'regressor__learning_rate_init': 0.07419939418114051}",-0.35727598019196694,-1.3885901093026911,-7.741377703551695,-3.1624145976821176,3.265075757356117,5,0.5687080414419785,0.6437373711730594,0.4316192816746217,0.54802156476322,0.08782356825344939,36.2874893015761,47.93222358394316,76.50001168237286,53.5732415226307,16.89432945487856,17,21.351389653669052,19.361776626963465,21.622572078592263,20.77857945307493,1.0079294495664126,-45.01192783084956,-59.29684125203056,-134.22245381498942,-79.51040763262318,39.124337574444986,5,-27.703167002289543,-25.777489679646028,-29.354127849358562,-27.61159484376471,1.461591425906212
75.80597853660583,37.238956789605695,0.08001979192097981,0.0016358177731602703,relu,0.006068501579464871,"(100, 50)",0.016599452033620267,"{'regressor__activation': 'relu', 'regressor__alpha': 0.006068501579464871, 'regressor__hidden_layer_sizes': (100, 50), 'regressor__learning_rate_init': 0.016599452033620267}",-336.31881178018654,-1.3421187793878242,-4.107618717019396,-113.92284975886459,157.2617455921141,19,0.6880873423556961,0.749644841583089,0.7733794774924769,0.7370372204770873,0.035943484912772834,616.5758014968835,47.15767505354613,76.24145565654452,246.65831073565803,261.8405100461626,2,17.24654011654216,16.85692960535876,14.558115132034626,16.220528284645184,1.186215889593339,-709.600337017996,-58.71718172984619,-102.59931615280068,-290.30561163354764,297.02689045695683,19,-23.559183737002016,-21.60895472956614,-18.53527916419053,-21.234472543586225,2.068023528217423
41.676158825556435,8.950581543247639,0.0643307367960612,0.0020543607659752406,relu,0.004692488919658672,"(100,)",0.06111150117432088,"{'regressor__activation': 'relu', 'regressor__alpha': 0.004692488919658672, 'regressor__hidden_layer_sizes': (100,), 'regressor__learning_rate_init': 0.06111150117432088}",-25.172281356076727,-9.727596884166427,-2.7507470903575504,-12.550208443533569,9.368623225729223,16,0.6058352494733017,0.6904127676521703,0.52365279975277,0.6066336056260807,0.06808181231852485,128.41224614110993,86.6292621776753,63.40848958525865,92.81666596801465,26.895911285814726,5,19.825231757349925,17.919048097347506,19.759818941588687,19.16803293209537,0.8835692944676422,-197.65796619045287,-125.66431464121217,-87.92130421556924,-137.08119501574475,45.52136943943477,16,-26.48394220190023,-24.029625831573437,-26.8727011036661,-25.795423045713253,1.2586535721485637
28.793253580729168,14.38686311668649,0.124724547068278,0.002454685798960847,tanh,0.006608884729488529,"(100,)",0.09799098521619944,"{'regressor__activation': 'tanh', 'regressor__alpha': 0.006608884729488529, 'regressor__hidden_layer_sizes': (100,), 'regressor__learning_rate_init': 0.09799098521619944}",-1.2187720576802406,-1.0591945709785686,-0.04514446206489153,-0.7743703635745668,0.519739713792686,1,0.171356234198353,0.31528105454485666,0.3196493119178043,0.268762200220338,0.06889950208153975,46.970277458759575,42.604130476211914,36.824753216971274,42.133053717314255,4.155265777280571,20,29.989272977893364,27.828248043156545,24.978523167731996,27.598681396260634,2.052060598363398,-57.55060269691053,-55.0566061283903,-46.41126363471402,-53.00615748667161,4.773152236547581,1,-38.39968602284025,-35.736470702721135,-32.11559165815026,-35.41724946123722,2.575381803001001
27.05896250406901,22.943356125009096,0.16866461435953775,0.0030928262657839386,tanh,0.009485527090157502,"(100, 50)",0.019182496720710065,"{'regressor__activation': 'tanh', 'regressor__alpha': 0.009485527090157502, 'regressor__hidden_layer_sizes': (100, 50), 'regressor__learning_rate_init': 0.019182496720710065}",-1.8277720963282378,-3.336104923920283,-10.234578425672145,-5.132818481973556,3.6596660022506184,8,-0.0009666706675217629,0.29109677499763476,-0.00017495713023674142,0.09665171573329208,0.13749379987673768,42.678248124827725,56.19494240859036,104.35055447624035,67.74124833655281,26.468298372609173,10,33.19481388971376,28.60156469106657,30.58765434644861,30.794677642409642,1.8808913727310574,-64.97042901191418,-79.89335067264791,-152.1645974319986,-99.00945903885356,38.07689545221967,9,-42.20399356570575,-36.36210056583561,-38.93924272595933,-39.168445619166896,2.390443324319288
44.34731197357178,7.36428199321095,0.0787661870320638,0.0010834552655331153,relu,0.0062748150962771655,"(100, 50)",0.053475643163223785,"{'regressor__activation': 'relu', 'regressor__alpha': 0.0062748150962771655, 'regressor__hidden_layer_sizes': (100, 50), 'regressor__learning_rate_init': 0.053475643163223785}",-1972.7259890333573,-3.1367539381825162,-9.804792255737127,-661.8891784090923,926.905595246696,20,0.640843405777691,0.6728832138770233,0.4867846998972394,0.6001704398506512,0.08123579606859514,1512.0051186357807,64.55578198774867,94.42377302419528,556.9948912159083,675.4042863744922,1,18.697649551840826,18.26052822006474,20.700440140967864,19.219539304291143,1.0622520826764816,-1716.4729432394304,-78.03520736333942,-149.22563711417675,-647.9112625723155,756.1459596156569,20,-25.280500161555718,-24.700565880718983,-27.89326229518105,-25.958109445818582,1.3886908356000045
22.615718682607014,11.374474668085437,0.24527708689371744,0.005831120159385471,tanh,0.0003306242504141576,"(150, 75)",0.06218528947223795,"{'regressor__activation': 'tanh', 'regressor__alpha': 0.0003306242504141576, 'regressor__hidden_layer_sizes': (150, 75), 'regressor__learning_rate_init': 0.06218528947223795}",-2.300543033521151,-13.32535628195436,-6.34270651720501,-7.322868610893507,4.5539115119594324,12,0.008369099427261273,-0.0014689746301972395,-0.0018075043490071163,0.0016975401493523057,0.004719528789446342,48.555618414767224,90.66595596623425,76.75612307801208,71.99256581967119,17.518347343851485,8,32.6503452969134,34.351593546270564,30.871692400068685,32.624543747750884,1.4207808385505667,-70.19177613705594,-145.21566241202092,-123.01648576143943,-112.8079747701721,31.4675086445669,13,-42.0067193691359,-43.21895256233015,-38.97100928456462,-41.39889373867689,1.7866811915878194
23.852128823598225,10.833693679396545,0.23833020528157553,0.0004691274089762939,tanh,0.0005666566321361543,"(150, 75)",0.0466069984217036,"{'regressor__activation': 'tanh', 'regressor__alpha': 0.0005666566321361543, 'regressor__hidden_layer_sizes': (150, 75), 'regressor__learning_rate_init': 0.0466069984217036}",-9.701432879744656,-10.845732544221379,-4.981301838627096,-8.509489087531044,2.5381665795118975,14,0.006003355129407861,-0.0026212490141908074,-5.883319412824939e-05,0.0011077576403629348,0.0036163194724087417,83.01497181506083,78.6088570135424,69.06603628227222,76.89662170362514,5.82191337058352,7,32.70777047760716,34.45146421177814,30.681625180195972,32.61361995652709,1.5404695867331768,-126.39051926684955,-132.05100342547934,-111.0281467512207,-123.1565564811832,8.881967205557988,14,-42.056797455687935,-43.243808936634814,-38.93698216676491,-41.41252951969589,1.8163149665238112
29.096150000890095,6.524457806662774,0.10566385587056477,0.002358483135998681,relu,0.006283860093330873,"(150, 75)",0.09932308858067883,"{'regressor__activation': 'relu', 'regressor__alpha': 0.006283860093330873, 'regressor__hidden_layer_sizes': (150, 75), 'regressor__learning_rate_init': 0.09932308858067883}",-1.632061142041307,-2.9498369803033557,-3.235621388546421,-2.605839836963695,0.6983799787184963,4,0.04705757746799466,0.6027432485767832,0.4675002705282053,0.3724336988576611,0.23660780637417583,50.04691522504301,56.02755523778488,65.56662836000363,57.2136996076105,6.391169835401503,16,32.311945671023814,20.268256382175437,21.32490755422695,24.635036535808734,5.445507526246506,-62.68180860040177,-76.25184037293465,-93.43160246110274,-77.45508381147972,12.582350116948266,4,-41.17912082628257,-27.22018866285326,-28.412484309044316,-32.270597932726716,6.318054939918251
38.55916015307108,17.227089665667027,0.10500399271647136,0.0021623402032319174,relu,0.0005645041271999773,"(150, 75)",0.06903075385877798,"{'regressor__activation': 'relu', 'regressor__alpha': 0.0005645041271999773, 'regressor__hidden_layer_sizes': (150, 75), 'regressor__learning_rate_init': 0.06903075385877798}",-21.786270044561153,-2.1633650609089523,-7.493667319388587,-10.48110080828623,8.28485240815232,15,0.528075758215104,0.6915244052136311,0.5588741533546051,0.5928247722611134,0.07091473022587763,140.07627682470266,49.623284479430566,70.61440197971166,86.77132109461496,38.65419755143124,6,21.835846747589137,17.90936029095354,19.096086323787272,19.613764454109983,1.6442459180419668,-184.4293994835243,-68.23943165003806,-132.30700985706466,-128.325280330209,47.51784074643556,15,-28.978765668779737,-23.986445341586407,-25.860133682193204,-26.275114897519785,2.059121595751025
